,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
102,2023-01-05 18:00:00,add_circle_outline,"11.9 °C
11.9 → 12.6",,0 mm/1h,"14 km/h
raf.25.9",89%,,10.1 °C,1024.4hPa,60 km
103,2023-01-05 17:00:00,add_circle_outline,"12.6 °C
12.5 → 12.7",,0 mm/1h,"18 km/h

raf.34.2",81%,31 ,9.4 °C,1024.5hPa,55 km
104,2023-01-05 16:00:00,add_circle_outline,"12.5 °C
12.4 → 13.3",,0 mm/1h,"14 km/h

raf.31",83%,56 ,9.7 °C,1024.8hPa,27 km
105,2023-01-05 15:00:00,add_circle_outline,"13.3 °C
13 → 13.3",,0 mm/1h,"18 km/h
raf.29.2",74%,100 ,8.8 °C,1025.3hPa,50 km
106,2023-01-05 14:00:00,add_circle_outline,"13.0 °C
12.8 → 13",,0 mm/1h,"14 km/h
raf.24.8",80%,81 ,9.6 °C,1026.0hPa,17 km
107,2023-01-05 13:00:00,add_circle_outline,"12.8 °C
12.8 → 12.9",,0 mm/1h,"14 km/h
raf.23.4",82%,69 ,9.8 °C,1026.7hPa,40 km
108,2023-01-05 12:00:00,add_circle_outline,"12.8 °C
12.5 → 12.8",,0 mm/1h,"14 km/h
raf.22.7",87%,92 ,10.7 °C,1027.0hPa,40 km
109,2023-01-05 11:00:00,add_circle_outline,"12.5 °C
11.8 → 12.5",,0 mm/1h,"14 km/h
raf.23",92%,83 ,11.2 °C,1027.3hPa,19 km
110,2023-01-05 10:00:00,add_circle_outline,"11.8 °C
11.3 → 11.8",,0 mm/1h,"11 km/h
raf.18.7",95%,17 ,11 °C,1027.1hPa,17 km
111,2023-01-05 09:00:00,add_circle_outline,"11.5 °C
11 → 11.6",,0 mm/1h,"11 km/h
raf.16.9",94%,,10.6 °C,1027.1hPa,30 km
112,2023-01-05 08:00:00,add_circle_outline,"11.6 °C
11.6 → 12.1",,0 mm/1h,"11 km/h
raf.20.5",92%,,10.3 °C,1027.1hPa,35 km
113,2023-01-05 07:00:00,add_circle_outline,"12.1 °C
12.1 → 12.8",,0 mm/1h,"11 km/h
raf.28.8",91%,,10.7 °C,"1027.2hPa

=",55 km
114,2023-01-05 06:00:00,add_circle_outline,"12.8 °C
12.8 → 12.8",,0 mm/1h,"14 km/h
raf.24.5",92%,,11.5 °C,1027.0hPa,60 km
115,2023-01-05 05:00:00,add_circle_outline,"12.8 °C
12.5 → 12.8",,0 mm/1h,"14 km/h
raf.22.3",92%,,11.5 °C,"1027.2hPa

=",60 km
116,2023-01-05 04:00:00,add_circle_outline,"12.5 °C
12.5 → 12.9",,0 mm/1h,"11 km/h
raf.22.7",94%,,11.6 °C,1027.2hPa,60 km
117,2023-01-05 03:00:00,add_circle_outline,"12.9 °C
12.9 → 13",,0 mm/1h,"11 km/h
raf.27.4",92%,,11.6 °C,"1027.2hPa

=",19 km
118,2023-01-05 02:00:00,add_circle_outline,"13.0 °C
13 → 13",,0 mm/1h,"14 km/h
raf.24.5",93%,,11.9 °C,"1027.2hPa

=",60 km
119,2023-01-05 01:00:00,add_circle_outline,"13.0 °C
13 → 13",,0 mm/1h,"14 km/h
raf.27",93%,,11.9 °C,1027.4hPa,60 km
120,2023-01-06 00:00:00,add_circle_outline,"11.4 °C
11.4 → 11.9",,0 mm/1h,"25 km/h

raf.41.8",85%,,9 °C,1015.9hPa,60 km
121,2023-01-06 23:00:00,add_circle_outline,"11.9 °C
11.9 → 12.1",,0 mm/1h,"22 km/h

raf.36.4",88%,,10 °C,1016.9hPa,45 km
122,2023-01-06 22:00:00,add_circle_outline,"12.1 °C
12.1 → 12.2",,0 mm/1h,"22 km/h

raf.34.9",88%,,10.2 °C,1017.5hPa,35 km
123,2023-01-06 21:00:00,add_circle_outline,"12.1 °C
12 → 12.2",,0 mm/1h,"22 km/h

raf.38.2",88%,,10.2 °C,1017.9hPa,30 km
124,2023-01-06 20:00:00,add_circle_outline,"12.0 °C
11.8 → 12",,0 mm/1h,"22 km/h

raf.42.1",93%,,10.9 °C,1018.3hPa,9 km
125,2023-01-06 19:00:00,add_circle_outline,"11.8 °C
11.7 → 11.9",,0 mm/1h,"25 km/h

raf.38.5",94%,,10.9 °C,1018.5hPa,7 km
126,2023-01-06 18:00:00,add_circle_outline,"11.9 °C
11.8 → 12.4",,0 mm/1h,"22 km/h

raf.36.4",93%,,10.8 °C,1018.6hPa,18 km
127,2023-01-06 17:00:00,add_circle_outline,"12.4 °C
12.3 → 12.5",,0 mm/1h,"22 km/h

raf.36.7",91%,25 ,11 °C,1018.8hPa,20 km
128,2023-01-06 16:00:00,add_circle_outline,"12.3 °C
12.2 → 12.4",,0.2 mm/1h,"18 km/h

raf.35.6",93%,53 ,11.2 °C,1019.2hPa,40 km
129,2023-01-06 15:00:00,add_circle_outline,"12.3 °C
12.3 → 13.2",,0 mm/1h,"25 km/h

raf.41.8",93%,92 ,11.2 °C,1019.7hPa,3.7 km
130,2023-01-06 14:00:00,add_circle_outline,"12.9 °C
12.3 → 12.9",,0 mm/1h,"22 km/h

raf.38.2",91%,114 ,11.5 °C,1020.2hPa,40 km
131,2023-01-06 13:00:00,add_circle_outline,"12.9 °C
12.2 → 13",,0 mm/1h,"22 km/h

raf.34.9",91%,125 ,11.5 °C,1020.9hPa,30 km
132,2023-01-06 12:00:00,add_circle_outline,"12.3 °C
12.2 → 12.4",,0.2 mm/1h,"18 km/h

raf.32",96%,81 ,11.7 °C,1021.6hPa,6 km
133,2023-01-06 11:00:00,add_circle_outline,"12.2 °C
11.9 → 12.2",,0 mm/1h,"18 km/h
raf.29.2",95%,50 ,11.4 °C,1021.5hPa,13 km
134,2023-01-06 10:00:00,add_circle_outline,"11.9 °C
11.6 → 11.9",,0 mm/1h,"18 km/h
raf.28.8",93%,17 ,10.8 °C,1021.4hPa,55 km
135,2023-01-06 09:00:00,add_circle_outline,"11.6 °C
11.6 → 11.8",,0 mm/1h,"18 km/h

raf.31.3",96%,,11 °C,1021.3hPa,16 km
136,2023-01-06 08:00:00,add_circle_outline,"11.7 °C
11.3 → 11.7",,0 mm/1h,"22 km/h

raf.33.1",93%,,10.6 °C,1021.2hPa,50 km
137,2023-01-06 07:00:00,add_circle_outline,"11.3 °C
10.9 → 11.3",,0 mm/1h,"22 km/h

raf.34.6",93%,,10.2 °C,1021.0hPa,19 km
138,2023-01-06 06:00:00,add_circle_outline,"10.9 °C
10.8 → 11",,0 mm/1h,"18 km/h

raf.32.8",94%,,10 °C,1021.1hPa,55 km
139,2023-01-06 05:00:00,add_circle_outline,"10.7 °C
10.7 → 10.9",,0 mm/1h,"18 km/h

raf.30.6",93%,,9.6 °C,1021.3hPa,55 km
140,2023-01-06 04:00:00,add_circle_outline,"10.9 °C
10.6 → 11.1",,0 mm/1h,"18 km/h

raf.33.5",92%,,9.7 °C,1021.5hPa,60 km
141,2023-01-06 03:00:00,add_circle_outline,"11.1 °C
11.1 → 11.3",,0 mm/1h,"14 km/h
raf.26.6",91%,,9.7 °C,1022.1hPa,55 km
142,2023-01-06 02:00:00,add_circle_outline,"11.3 °C
11 → 11.3",,0 mm/1h,"14 km/h

raf.33.1",89%,,9.6 °C,1022.4hPa,55 km
143,2023-01-06 01:00:00,add_circle_outline,"11.3 °C
11.1 → 11.3",,0 mm/1h,"22 km/h

raf.36",91%,,9.9 °C,1022.6hPa,55 km
144,2023-01-07 00:00:00,add_circle_outline,"7.6 °C
7.2 → 7.8",,0 mm/1h,"14 km/h
raf.20.2",91%,5,6.2 °C,1005hPa,30 km
145,2023-01-07 23:00:00,add_circle_outline,"7.8 °C
7.8 → 8.7",,0 mm/1h,"14 km/h

raf.31",89%,5.2,6.1 °C,1005.4hPa,40 km
146,2023-01-07 22:00:00,add_circle_outline,"8.1 °C
8.1 → 8.8",,0.2 mm/1h,"11 km/h
raf.26.6",89%,6.1,6.4 °C,1005.7hPa,50 km
147,2023-01-07 21:00:00,add_circle_outline,"8.8 °C
8.7 → 10.6",,1.6 mm/1h,"18 km/h

raf.47.2",86%,6,6.6 °C,1005.7hPa,50 km
148,2023-01-07 20:00:00,add_circle_outline,"10.6 °C
10.6 → 11",,0 mm/1h,"22 km/h

raf.36.4",80%,,7.3 °C,1005.2hPa,30 km
149,2023-01-07 19:00:00,add_circle_outline,"11.0 °C
10.9 → 11.2",,0 mm/1h,"22 km/h

raf.44.6",80%,,7.7 °C,1004.6hPa,19 km
150,2023-01-07 18:00:00,add_circle_outline,"11.2 °C
11.2 → 11.9",,0 mm/1h,"22 km/h

raf.51.1",80%,,7.9 °C,1004.3hPa,30 km
151,2023-01-07 17:00:00,add_circle_outline,"12.0 °C
12 → 12.6",,0 mm/1h,"25 km/h

raf.51.8",80%,25 ,8.7 °C,1004.3hPa,17 km
152,2023-01-07 16:00:00,add_circle_outline,"12.7 °C
12.2 → 12.9",,0 mm/1h,"29 km/h

raf.63.7",78%,136 ,9 °C,1003.9hPa,14 km
153,2023-01-07 15:00:00,add_circle_outline,"12.6 °C
11.8 → 12.7",,0.6 mm/1h,"32 km/h

raf.60.8",89%,89 ,10.8 °C,1003.8hPa,22 km
154,2023-01-07 14:00:00,add_circle_outline,"11.9 °C
11.7 → 12.7",,0.4 mm/1h,"29 km/h

raf.51.8",94%,44 ,11 °C,1004.4hPa,10 km
